symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
INCY,2019-07-30 00:00:00+00:00,85.43,85.57,80.06,82.77,1740300,85.43,85.57,80.06,82.77,1740300,0.0,1.0
INCY,2019-07-31 00:00:00+00:00,84.92,86.53,83.86,85.5,1263000,84.92,86.53,83.86,85.5,1263000,0.0,1.0
INCY,2019-08-01 00:00:00+00:00,84.85,87.23,84.24,84.52,1016758,84.85,87.23,84.24,84.52,1016758,0.0,1.0
INCY,2019-08-02 00:00:00+00:00,83.47,85.9,82.71,84.73,1267223,83.47,85.9,82.71,84.73,1267223,0.0,1.0
INCY,2019-08-05 00:00:00+00:00,80.92,82.45,80.03,82.32,1401556,80.92,82.45,80.03,82.32,1401556,0.0,1.0
INCY,2019-08-06 00:00:00+00:00,82.63,82.77,79.9,81.2,1308052,82.63,82.77,79.9,81.2,1308052,0.0,1.0
INCY,2019-08-07 00:00:00+00:00,80.46,81.78,79.765,81.78,1278518,80.46,81.78,79.765,81.78,1278518,0.0,1.0
INCY,2019-08-08 00:00:00+00:00,81.26,81.31,78.01,80.66,1566656,81.26,81.31,78.01,80.66,1566656,0.0,1.0
INCY,2019-08-09 00:00:00+00:00,81.79,82.72,80.22,80.97,1280458,81.79,82.72,80.22,80.97,1280458,0.0,1.0
INCY,2019-08-12 00:00:00+00:00,82.48,83.84,80.56,81.66,1062436,82.48,83.84,80.56,81.66,1062436,0.0,1.0
INCY,2019-08-13 00:00:00+00:00,82.89,84.78,81.96,82.3,987268,82.89,84.78,81.96,82.3,987268,0.0,1.0
INCY,2019-08-14 00:00:00+00:00,81.06,83.29,80.91,82.14,1460025,81.06,83.29,80.91,82.14,1460025,0.0,1.0
INCY,2019-08-15 00:00:00+00:00,80.61,81.47,79.59,80.96,1182129,80.61,81.47,79.59,80.96,1182129,0.0,1.0
INCY,2019-08-16 00:00:00+00:00,83.12,83.345,80.8,81.42,1105064,83.12,83.345,80.8,81.42,1105064,0.0,1.0
INCY,2019-08-19 00:00:00+00:00,84.52,84.92,83.15,84.08,872841,84.52,84.92,83.15,84.08,872841,0.0,1.0
INCY,2019-08-20 00:00:00+00:00,84.1,84.96,83.92,84.23,797154,84.1,84.96,83.92,84.23,797154,0.0,1.0
